z_parent,n_parent,elem_parent,parent_l_seqno,decay,z_daughter,n_daughter,elem_daughter,shell,energy,old_energy,intensity,intensity_unc_abs,from_gamma_energy,conversion_coeff_shell
81,127,Tl,0,B-,82,126,Pb,L3O45,13.015,13.01 - 13.02,0.000156,0.000012369150522177003,252.61,
81,127,Tl,0,B-,82,126,Pb,L3P1,13.026,13.03,0.00145,0.00009508200305450117,252.61,
81,127,Tl,0,B-,82,126,Pb,L2,13.274,11.35 - 15.20,0.052,0.0032740399245585576,252.61,0.0123 18
81,127,Tl,0,B-,82,126,Pb,L1,14.083,12.31 - 15.86,0.0065,0.0003644383443498777,252.61,0.078 4
81,127,Tl,0,B-,82,126,Pb,L2N1,14.307,14.31,0.000292,0.000019063367003268586,252.61,
81,127,Tl,0,B-,82,126,Pb,L2N4,14.765,14.77,0.0088,0.000556506012410515,252.61,
81,127,Tl,0,B-,82,126,Pb,L2O1,15.053,15.05,0.0088,0.000556506012410515,252.61,
81,127,Tl,0,B-,82,126,Pb,L1N2,15.098,15.10,0.00061,0.000034827395522834676,252.61,
81,127,Tl,0,B-,82,126,Pb,L2O4,15.179,15.18,0.00119,0.00007505052659479763,252.61,
81,127,Tl,0,B-,82,126,Pb,L2P1,15.191,15.19,1e-05,0.0000052613984138032,252.61,
81,127,Tl,0,B-,82,126,Pb,L1N3,15.216,15.22,0.00074,0.00004204705405783459,252.61,
81,127,Tl,0,B-,82,126,Pb,L1O23,15.766,15.76 - 15.78,0.000265,0.000015288370993087762,252.61,
81,127,Tl,0,B-,82,126,Pb,L1P23,15.86,15.86,9.1e-06,0.0000008241287974990289,252.61,
81,127,Tl,0,B-,82,126,Pb,KA2,72.805,72.81,0.112,0.007210653731234034,252.61,0.51 3
81,127,Tl,0,B-,82,126,Pb,KA1,74.97,74.97,0.188,0.012093033578080817,252.61,0.51 3
81,127,Tl,0,B-,82,126,Pb,KpB1,84.986,84.45 - 85.52,0.064,0.004240389891589529,252.61,
81,127,Tl,0,B-,82,126,Pb,KB,86.022,84.45 - 87.59,0.084,0.0055116532044215925,252.61,0.51 3
81,127,Tl,0,B-,82,126,Pb,KpB2,87.301,87.24 - 87.36,0.0194,0.0013201947026126124,252.61,
81,127,Tl,0,B-,82,126,Pb,L3M1,9.184,9.184,0.00123,0.00003448521905630302,2614.511,
81,127,Tl,0,B-,82,126,Pb,L3M4,10.449,10.449,0.00238,0.00006696772199184204,2614.511,
